"rowname","PlantName","Genotype","Site","Other","Geopoint","Planting_Date","Bagging_Date","BagCode","BagNo"
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_5","TDr2491A","Ibadan",NA,NA,2019-08-05,2019-08-06,"2018-Abuja-_2018.Female crossing block.AB_1_plant_5_Bag3",11
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_5","TDr2491A","Ibadan",NA,NA,2019-08-05,2019-08-14,"2018-Abuja-_2018.Female crossing block.AB_1_plant_5_Bag3",10
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_5","TDr2491A","Ibadan",NA,NA,2019-08-05,2019-08-06,"2018-Abuja-_2018.Female crossing block.AB_1_plant_5_Bag3",9
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_5","TDr2491A","Ibadan",NA,NA,2019-08-05,2019-08-17,"2018-Abuja-_2018.Female crossing block.AB_1_plant_5_Bag11",8
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_5","TDr2491A","Ibadan",NA,NA,2019-08-05,2019-08-06,"2018-Abuja-_2018.Female crossing block.AB_1_plant_5_Bag2",7
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_5","TDr2491A","Ibadan",NA,NA,2019-08-05,2019-08-14,"2018-Abuja-_2018.Female crossing block.AB_1_plant_5_Bag2",6
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_5","TDr2491A","Ibadan",NA,NA,2019-08-05,2019-08-06,"2018-Abuja-_2018.Female crossing block.AB_1_plant_5_Bag2",5
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_5","TDr2491A","Ibadan",NA,NA,2019-08-05,2019-08-17,"2018-Abuja-_2018.Female crossing block.AB_1_plant_5_Bag10",4
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_5","TDr2491A","Ibadan",NA,NA,2019-08-05,2019-08-06,"2018-Abuja-_2018.Female crossing block.AB_1_plant_5_Bag1",3
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_5","TDr2491A","Ibadan",NA,NA,2019-08-05,2019-08-14,"2018-Abuja-_2018.Female crossing block.AB_1_plant_5_Bag1",2
"79","TDr0000043_replicate:1_plot:1_04ATDrAB_plant_5","TDr0000043","Ibadan",NA,"7.4991787 3.9059611 263.1000061035156 17.697",2019-08-01,2019-08-06,"TDr0000043_replicate:1_plot:1_04ATDrAB_plant_5_Bag2",2
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_5","TDr2491A","Ibadan",NA,NA,2019-08-05,2019-08-06,"2018-Abuja-_2018.Female crossing block.AB_1_plant_5_Bag1",1
"79","TDr0000043_replicate:1_plot:1_04ATDrAB_plant_5","TDr0000043","Ibadan",NA,"7.4991787 3.9059611 263.1000061035156 17.697",2019-08-01,2019-08-06,"TDr0000043_replicate:1_plot:1_04ATDrAB_plant_5_Bag1",1
"1","2018-Abuja-_2018.Female crossing block.AB_1_plant_1","TDr2491A","Ibadan",NA,NA,2019-08-05,NA,NA,NA
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_2","TDr2491A","Ibadan",NA,NA,2019-08-05,NA,NA,NA
"3","2018-Abuja-_2018.Female crossing block.AB_1_plant_2","TDr2491A","Ibadan",NA,NA,2019-08-05,NA,NA,NA
"4","2018-Abuja-_2018.Female crossing block.AB_1_plant_3","TDr2491A","Ibadan",NA,NA,2019-08-05,NA,NA,NA
"5","2018-Abuja-_2018.Female crossing block.AB_2_plant_3","TDr2826A","Ibadan",NA,"7.498643 3.90881 0 0",2019-08-06,NA,NA,NA
"6","2018-Abuja-_2018.Female crossing block.AB_7_plant_17","TDrAloshie","Ibadan",NA,"7.500813 3.906411 0 0",2019-08-08,NA,NA,NA
"79","TDr0000043_replicate:1_plot:1_04ATDrAB_plant_2","TDr0000043","Ibadan",NA,"7.4991787 3.9059611 263.1000061035156 17.697",2019-08-01,NA,NA,NA
"1","2018-Abuja-_2018.Female crossing block.AB_7_plant_17","TDrAloshie","Ibadan",NA,NA,2019-08-05,NA,NA,NA
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_3","TDr2491A","Ibadan",NA,NA,2019-08-05,NA,NA,NA
"3","2018-Abuja-_2018.Female crossing block.AB_7_plant_18","TDrAloshie","Ibadan",NA,NA,2019-08-05,NA,NA,NA
"4","2018-Abuja-_2018.Female crossing block.AB_1_plant_4","TDr2491A","Ibadan",NA,NA,2019-08-05,NA,NA,NA
"79","TDr0000043_replicate:1_plot:1_04ATDrAB_plant_1","TDr0000043","Ibadan",NA,"7.4991787 3.9059611 263.1000061035156 17.697",2019-08-01,NA,NA,NA
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_1","TDr2491A","Ibadan",NA,NA,2019-08-05,NA,NA,NA
"79","TDr0000043_replicate:1_plot:1_04ATDrAB_plant_3","TDr0000043","Ibadan",NA,"7.4991787 3.9059611 263.1000061035156 17.697",2019-08-01,NA,NA,NA
"2","2018-Abuja-_2018.Female crossing block.AB_1_plant_4","TDr2491A","Ibadan",NA,NA,2019-08-05,NA,NA,NA
"79","TDr0000043_replicate:1_plot:1_04ATDrAB_plant_4","TDr0000043","Ibadan",NA,"7.4991787 3.9059611 263.1000061035156 17.697",2019-08-01,NA,NA,NA
